年份,试卷文件,题型板块,题号,题目文本,匹配题型ID,匹配题型名称,所属专题,所属章节,难度等级,匹配分数,备选题型
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,1,的相反数为（    ） A．	B．	C．2024	D．,4,求一个数的相反数,代数,第一章 有理数,lv1,53,
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,2,下列图形是轴对称图形而不是中心对称图形的是（　　） A．  	B．  	C．  	D．,241,判断轴对称图形,几何,第五章 轴对称,lv1,51,图形旋转的性质(47) | 轴对称的应用(36) | 点的对称规律(15)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,3,以下调查中，最适合采用普查方式的是（   ） A．检测成都的空气质量	B．调查某批次汽车的抗撞击能力 C．调查我校七年级（1）班本次体考成绩	D．了解黄河的水质情况,369,普查和抽样调查,统计概率,第一章 数据的收集、整理和描述,lv1,81,求平均数(23) | 求中位数和众数(23)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,4,估计的值应在（   ） A．4和5之间	B．5和6之间	C．6和7之间	D．7和8之间,66,无理数的估算,代数,第四章 实数,lv2,21,
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,5,如图，在四边形中，，添加下列一个条件后，一定能判定四边形是平行四边形的是（   ） A．	B．	C．	D．,260,平行四边形的判定,几何,第七章 平行四边形,lv2,58,平行四边形的性质(49) | 矩形的判定(25) | 菱形的判定(25)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,6,如图，为等腰三角形，，反比例函数过点B，若，则k为（    ） A．	B．4	C．	D．,243,等腰三角形的分类讨论问题,几何,第五章 轴对称,lv2,113,已知反比例函数求参(58) | 反比例函数的图象性质(58) | 求反比例函数解析式(58)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,7,如图，第1个图中“M”有5个黑点和4个白点，第2个图中“M”有15个黑点和12个白点，第3个图中“M”有30个黑点和24个白点，以此类推……，第7个图形中黑点的个数与白点的个数之差为（    ） A．7	B．28	C．252	D．63,40,数图排列规律,代数,第二章 整式及其加减计算,lv3,47,
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,8,如图，是圆的直径，为圆的弦，且平分，若，则的长为（    ） A．2	B．	C．	D．,277,弧、弦、圆心角、圆周角的关系,几何,第九章 圆,lv2,31,角平分线模型(14) | 角平分线+垂一边(14)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,9,如图，正方形中，点E，F分别为，上两点，，连接，交点G，H为上一点，且，连接，，，设，则可以表示为（　　） A． 	B．	C．	D．,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 弧、弦、圆心角、圆周角的关系(35) | 无理数的估算(11)
2024,2024年重庆中考数学摸底预测试题.docx,一、单选题,10,多项式中，现对其中，，，这四个单项式进行以下操作，选择个单项式进行变符号，再对整个多项式加绝对值化简，称这个操作为“变号绝对操作”，比如对与变号，则多项式为，当时，化简结果为，当时，化简结果为，以下结论： ①至少存在2种“变号绝对操作”的化简结果与原多项式一样 ②当，多项式时，且使得为整数，则符合整数x的值共有4个 ③所有“变号绝对操作”的化简结果共有13种不同的化简结果 其中正确结论的个数为（    ） A．0	B．1	C．2	D．3,28,整式的概念,代数,第二章 整式及其加减计算,lv1,71,绝对值化简(52) | 求一个数的绝对值(38) | 整式的加减(35)
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,11,计算：______,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,12,2024年重庆马拉松于3月24日在重庆南滨路开跑，据统计本次比赛共170000入参与报名，则170000用科学记数法表示为______．,10,科学记数法,代数,第一章 有理数,lv1,137,
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,13,如图所示的正五边形，连结、，则的大小为_____．,281,弧长和扇形面积,几何,第九章 圆,lv2,47,
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,14,桌面上放有五张背面完全相同的卡片，卡片的正面分别标有汉字：疯，狂，的，数，学，把这五张卡片背面朝上，随机抽取一张，记下汉字放回，再从中随机抽取一张．则两次抽取卡片上汉字可以组成“数学”的概率是 ________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25)
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,15,如图，在中，，，．以点为圆心，长为半径画弧，分别交，于点，，则图中阴影部分的面积为__________（结果保留）．,281,弧长和扇形面积,几何,第九章 圆,lv2,71,
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,16,如图，矩形，连接，平分交于点E，过点E作交于点F，，，则线段为______,261,矩形的性质,几何,第七章 平行四边形,lv2,30,矩形的判定(30) | 角平分线模型(14) | 角平分线+垂一边(14)
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,17,已知关于x的分式方程的解为正数，关于y的不等式组有且仅有3个整数解，则所有符合条件的整数m的和为_______．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2024,2024年重庆中考数学摸底预测试题.docx,二、填空题,18,若四位数满足各位数字均不为0，千位数字与十位数字的和的十倍加上百位数字以及个位数字的和刚好等于150，则称该四位数为“数学满分数”，比如：5298，，则5298是“数学满分数”，定义，对于四位数是“数学满分数”，则为 _______，在此条件下，若能被7整除，则符合题意的最大值与最小值的差为 _________．,36,定义新运算,代数,第二章 整式及其加减计算,lv2,52,对有理数进行分类(23) | 正数、负数和0(23) | 数轴的概念(23)
2024,2024年重庆中考数学摸底预测试题.docx,三、解答题,19,计算： (1)； (2)．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学摸底预测试题.docx,三、解答题,20,如图，在中，为的角平分线． (1)（1）用尺规完成以下基本作图：作线段的垂直平分线，分别交、于点、，垂足为．连接、．（保留作图痕迹） (2)小明利用（1）所作的图形，证明四边形是菱形．请根据他的思路完成下面的填空． 证明：∵平分， ∴①___________， ∵垂直平分， ∴②___________， ∴， ∴③___________， ∴， ∵同理，， ∴④___________， ∵ ∴平行四边形是菱形 小明通过探究，发现任意三角形的一条角平分线到对边的交点，同该角平分线的垂直平分线与该角两边的交点，和这个角顶点都能围成一个四边形，那么⑤___________．,264,菱形的判定,几何,第七章 平行四边形,lv2,155,垂直平分线(89) | 菱形的性质(84) | 平行四边形的性质(49)
2024,2024年重庆中考数学摸底预测试题.docx,三、解答题,21,某校为了解学生对重庆历史文化的了解程度，举办了历史文化知识问答竞赛．现从八、九年级中各随 机抽取20名学生的知识竞赛分数（满分100分，分数用x表示，共分成四组：A．95 ≤ x ≤ 100， B．90 ≤ x < 95，C．80 ≤ x < 90，D．0 ≤ x < 80）进行整理、描述、分析，其中分数不低于90分为优秀，下面给出部分信息： 八年级随机抽取20名学生的知识竞赛成绩分数是：65，80，81，84，87，88，90，90，91，91，92，92，92，97，97，98，98，99，100，100 九年级随机抽取20名学生的知识竞赛分数中，A、D两组数据个数相等，B、C两组的数据是： 88，90，91，92，92，92，92，92，93，93，94，94,379,求平均数,统计概率,第二章 数据分析,lv1,47,求中位数和众数(47) | 对有理数进行分类(23) | 反比例函数中的平行和相等(11)
2024,2024年重庆中考数学摸底预测试题.docx,八、九年级抽取的学生竞赛成绩统计表,22,某城市自行车赛线路为从起点出发，先骑行一段缓下坡路，再骑行一段平路到达折返点，然后从折返点沿原路线返回起点（起点即终点）．假定某运动员A在平路上骑行的速度始终是25千米/小时，下坡的骑行速度始终是30千米/小时，上坡的骑行速度始终是20千米/小时，已知该运动员从起点到折返点用时46分钟，从折返点回到起点用时51分钟． (1)求比赛的下坡路程、下坡结束到折返点的平路路程分别是多少千米？ (2)某参赛运动员B骑行时，下坡的速度是上坡速度的2倍，且从起点到折返点的用时比从折返点到终点少用10分钟，求该运动员B骑行时的上坡速度是多少千米/小时？,56,行程问题,代数,第三章 一元一次方程,lv2,131,行程问题(131)
2024,2024年重庆中考数学摸底预测试题.docx,八、九年级抽取的学生竞赛成绩统计表,23,如图1，中，，，动点P沿按每秒1个单位长度运动，动点Q以相同的速度沿运动，P，Q两点同时运动，当点P运动到点B时，停止运动，点Q也停止运动，在运动过程中，连接，记，运动时间为t秒 (1)直接写出与t的函数关系，并注明自变量t的取值范围； (2)如图2，在给定的平面直角坐标系中画出的函数图像，并写出该函数的一条性质； (3)结合函数图像，若函数与的图像有两个交点，直接写出k的取值范围．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,222,二次函数图象判断(215) | 反比例函数的图象性质(215)
2024,2024年重庆中考数学摸底预测试题.docx,八、九年级抽取的学生竞赛成绩统计表,24,如图，小明家A与商店C与小刚家D在一条直线上，点B为学校，学校B在小明家北偏东方向．在商店C北偏西，且刚好在小刚家西北方向，千米（参考数据，，）． (1)求小明家到学校的距离（答案保留整数）； (2)一天，小明和小刚约定去学校打篮球，小明计划先打车从家去商店购买文具再沿路线继续打车去学校与小刚汇合，小明在商店C选文具耽误了3分钟，而小刚骑上自己的电瓶车也从家出发按沿路线直接到学校，小明和小刚同时出发，其中小明打车的速度为（等待车的时间忽略不计，两次打车速度相同），谁先到学校？并说明理由．,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,二元一次方程组解法(23) | 分式方程应用题(23) | 数据的收集与整理过程(11)
2024,2024年重庆中考数学摸底预测试题.docx,八、九年级抽取的学生竞赛成绩统计表,25,如图，抛物线交轴于点，点交轴于点． (1)求抛物线的解析式； (2)如图，连接，，点为线段下方抛物线上一动点，过点作轴交于点，过点作轴交于点，求的最大值以及点的坐标； (3)将二次函数沿射线平移一定的单位长度，使得平移后的抛物线过点，记平移后的点对应点为，连接，点为平移后新抛物线上一动点，若满足，直接写出符合题意所有点的横坐标．,347,求二次函数的解析式,函数,第三章 二次函数,lv2,176,二次函数图象和性质判断(158) | 二次函数中的图形面积问题(96)
2024,2024年重庆中考数学摸底预测试题.docx,八、九年级抽取的学生竞赛成绩统计表,26,如图，为等腰直角三角形，，，点D为平面内一点，连接，将绕点A逆时针旋转得到线段，连接，． (1)如图1，若点D在内部，且，，，求线段的长； (2)如图2，若点D在左侧，点G为的中点，连接，猜想与的数量关系以及位置关系，并证明你的猜想； (3)如图3，若，点G为的中点，将绕点C顺时针旋转，得到，连接，，当线段最大时，直接写出的面积．,248,两个特殊的直角三角形,几何,第六章 勾股定理,lv2,130,解直角三角形(52) | 解直角三角形(52)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,1,有理数的绝对值是（    ） A．	B．	C．	D．,5,求一个数的绝对值,代数,第一章 有理数,lv1,46,绝对值化简(30) | 绝对值的分类讨论问题(23)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,2,如图是一个由个相同正方体组成的立体图形，它的主视图是（    ） A．	B．	C．	D．,311,由几何体判定三视图,几何,第十二章 投影和视图,lv1,35,
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,3,如图，直线a、b被直线c所截，的同位角是（    ） A．	B．	C．	D．以上都不是,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,4,如图，平面直角坐标系中，与关于原点位似，，若四边形的面积为4，则四边形的面积为（    ） A．	B．1	C．	D．2,289,位似,几何,第十章 相似三角形,lv2,107,
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,5,已知反比例函数，下列说法不正确的是（    ） A．图象经过点	B．图象分别位于第二、四象限内 C．在每个象限内y的值随x的值增大而增大	D．时，,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 象限点的特征(21)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,6,如图是一组有规律的图案，它们是由大小相同的正六边形组成，第1个图案中有5个正六边形，第2个图案中有8个正六边形，第3个图案中有11个正六边形，…，按此规律，第60个图案中正六边形的个数为（　　） A．176个	B．179个	C．180个	D．182个,281,弧长和扇形面积,几何,第九章 圆,lv2,47,数图排列规律(39) | 数式排列规律(15) | 周期规律(15)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,7,估计的值应在（    ） A．3和4之间	B．4和5之间	C．5和6之间	D．6和7之间,66,无理数的估算,代数,第四章 实数,lv2,21,
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,8,如图，是的切线，切点为点H，连接、分别与圆相交于点D、E，点C为圆上一点且，若的半径长为2，且，则的长为（    ） A．6	B．	C．	D．,277,弧、弦、圆心角、圆周角的关系,几何,第九章 圆,lv2,31,直线和圆的位置关系(31) | 与切线有关辅助线(23)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,9,如图，在正方形中，点E，G分别在，边上，且，，连接、，平分，过点C作于点F，连接，若正方形的边长为4，则的长度是（　　） A．	B．	C．	D．,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 平行线分线段成比例(35) | 角平分线模型(14)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,一、单选题,10,已知正整数a，b，c，d满足，且，关于这个四元方程下列说法正确的个数是（      ） ①，，，是该四元方程的一组解； ②连续的四个正整数一定是该四元方程的解； ③若，则该四元方程有21组解； ④若，则该四元方程有504组解． A．1	B．2	C．3	D．4,12,根据定义求值,代数,第一章 有理数,lv1,35,整数解方程(35) | 方程的有关概念(10) | 形如AB=0的方程(10)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,11,计算： ___________________．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,12,正六边形的一个内角是正边形一个外角的倍，则等于__,281,弧长和扇形面积,几何,第九章 圆,lv2,83,三角形中的角度计算(23)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,13,在三张大小、质地均相同的卡片上各写一个数字，分别为1、6、6，现将三张卡片放入一只不透明的盒子中，搅匀后从中任意摸出一张，记下数字后放回，搅匀后再任意摸出一张，记下数字．则两次摸到不同数字的概率是______．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25) | 比较几个幂的大小(10) | 判断事件发生可能性的大小(10)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,14,某商品进价4元，标价5元出售，商家准备打折销售，但其利润率不能少于，则最多可打_______折．,59,利润问题,代数,第三章 一元一次方程,lv2,71,利润问题(71) | 利润问题(71) | 销售问题(23)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,15,如图，在矩形中，，，点E、F分别在上，相交于点G．若，G是的中点，则的长为 _____．,261,矩形的性质,几何,第七章 平行四边形,lv2,30,矩形的判定(30) | 线段中点计算问题(17) | 中点坐标公式(17)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,16,如图，正方形ABCD中，扇形ABC与扇形BCD的弧交于点E，BC=1cm，则图中阴影部分的面积为_______cm²．（结果保留π）,281,弧长和扇形面积,几何,第九章 圆,lv2,92,正方形的性质(47) | 正方形的判定(47)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,17,若关于x的一元一次不等式组至少有4个整数解，且关于y的分式方程的解为非负数，则所有满足条件的整数a的值之和为 _____．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,二、填空题,18,一个四位自然数M，如果M满足各数位上的数字均不为0，它的百位上的数字比千位上的数字大1，个位上的数字比十位上的数字大1，则称M为“珊瑚数”．对于一个“珊瑚数”M，同时将M的个位数字交换到十位、十位数字交换到百位、百位数字交换到个位，得到一个新的四位数N．称N为“明佳数”，规定：．如果M是最大“珊瑚数”，则是 _______，对于任意四位自然数（a、b、c、d是整数且，），规定：．已知P、Q是“珊瑚数”，其中P的千位数字为m（m是整数且），十位数字为8；Q的百位数字为5，十位数字为s（s是整数且），且．若能被13整除，则的最小值是 ________．,36,定义新运算,代数,第二章 整式及其加减计算,lv2,95,正数、负数和0(23) | 数轴的概念(23)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,19,计算： (1) (2),375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,20,如图，在矩形中，平分交于点F，连接． (1)尺规作图：过点F作的垂线，交于点E；（保留作图痕迹，不写作法） (2)小明同学准备在（1）问所作的图形中，求证，他的证明思路是：利用矩形和角平分线的性质，证明三角形全等解决问题．请根据小明的思路完成下列填空： 证明：∵四边形是矩形 ∴ ∴ ∵_____________________ ∴ ∴ ∴_____________________ ∵ ∴ ∵ ∴ ∴ ∵在中， ∴______________________ ∴ 在和中 ∴ ∴．,220,角平分线模型,几何,第三章 三角形,lv3,73,全等三角形性质(59) | 全等三角形判定(59) | 垂直平分线(47)
